Tên văn phòng đại diện,Ngày cấp,Ngày hết hạn,Quốc gia,Điện thoại VPDD,Địa chỉ,Tên trưởng đại diện,Quốc tịch,Số giấy phép,Ngày cấp phép,Ngày giấy phép hết hạn,Lĩnh vực hoạt động,Tên công ty mẹ,Địa chỉ van phong chinh,Điện thoại VPDD Chinh,Năm thành lập,Nơi ĐKTL,"Bang, Tỉnh, TP",Vốn điều lệ
ICAEW MALAYSIA LIMITED,2016-12-22 09:38:30.295,2021-12-22 00:00:00.0,Việt Nam,39388786,"2.1B và phòng 1.3B, Landmark, 02, 5B, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Đặng Thị Mai Trang,Việt Nam,"79-04789-02
Dịch vụ",2016-12-22 09:38:30.295,2021-12-22 00:00:00.0,"Dịch vụ : Nghiên cứu, điều tra thị trường,",Icaew Malaysia Limited,"Chartered Accountants' Hall, 1 Moorgate Place, London, EC2R 6EA, United Kingdom",4402079208100,0,Vương Quốc Anh,,0 USD
KOREA DONGHAENG TRADING LTD.,2014-03-27 00:00:00.0,2021-12-20 00:00:00.0,Triều Tiên,,"204 Lô E chung cư Lý Thường Kiệt, phường 7, quận 11, thành phố Hồ Chí Minh, Việt Nam",RI HYOK MYONG,Triều Tiên,"79-04047-01
Thương mại",2014-03-27 00:00:00.0,2021-12-20 00:00:00.0,"Thương mại : Hàng tiêu dùng,",Korea Donghaeng Trading Ltd.,"Uiam-dong, Daedonggang Dist., Pyongyang, DPR Korea",850-2-18111/6133,0,Triều Tiên,,0 USD
IMASPRO RESOURCES SDN. BHD.,2013-11-29 00:00:00.0,2021-12-18 00:00:00.0,Việt Nam,,"1, 107, Nguyễn Đình Chiểu, phường 6, quận 3, thành phố Hồ Chí Minh, Việt Nam",Lê Thị Hương,Việt Nam,"79-03983-01
Thương mại",2013-11-29 00:00:00.0,2021-12-18 00:00:00.0,"Thương mại : Phân bón, thuốc trừ sâu,",Imaspro Resources Sdn. Bhd.,"37 Jalan 5, Kawasan 16, Taman Intan, Klang, Selangor, 41300, Malaysia",603-33431633,0,Malaysia,,0 USD
BELASIA LIMITED,2011-12-14 00:00:00.0,2019-11-21 00:00:00.0,Việt Nam,38234598 - 38247716,"33, Tòa nhà Fosco1 (nhà số 6), tầng 3, 2-6, Phùng Khắc Khoan, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lê Thị Cẩm Hà,Việt Nam,79-03471-01,2011-12-14 00:00:00.0,2019-11-21 00:00:00.0,,Belasia Limited,"Flat/RM 1003 10/F, Boss Comm Ctr, 28 Ferry St, Jordan, KL, Hongkong",+852-27821213,2007,Hồng Kông,,10.000 USD
"WUJIANG LUOWEI TEXTILE CO., LTD.",2016-02-02 13:48:03.141,2020-05-10 00:00:00.0,Việt Nam,39311737,"348/12/13, Cách Mạng Tháng 8, phường 10, quận 3, thành phố Hồ Chí Minh, Việt Nam",Tạ Văn Quang,Việt Nam,"79-04528-01
Thương mại",2016-02-02 13:48:03.141,2020-05-10 00:00:00.0,"Thương mại : Hàng tiêu dùng,","Wujiang Luowei Textile Co., Ltd.","No. 110, Unit 1, Building 1, Der International Silk Plaza, West Side of Xihuan Road, Shengze Town, Wujiang City, China",0512-63159101,0,Trung Quốc,,0 USD
VIVIN IMPORTS PTY LTD,2016-12-14 10:16:28.945,2021-12-14 00:00:00.0,Việt Nam,,"Block A, Chung cư Phúc Lộc Thọ, 2, 35 , Lê Văn Chí, phuong linh trung, quận Thủ Đức, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Liễu,Việt Nam,"79-04784-01
Thương mại",2016-12-14 10:16:28.945,2021-12-14 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,",Vivin Imports Pty Ltd,"490 Victoria Street, Wetherill Park NSW 2164, Australia",+61290118080,0,Australia,,0 USD
"TAIWAN HIPSTER ENTERPRISE CO., LTD.",2016-12-14 10:37:28.369,2021-12-14 00:00:00.0,Việt Nam,,"1020/1, phường 8, quận Gò Vấp, thành phố Hồ Chí Minh, Việt Nam",Sỳ Nghĩa Thành,Việt Nam,"79-04785-01
Thương mại",2016-12-14 10:37:28.369,2021-12-14 00:00:00.0,"Thương mại : Nguyên phụ liệu dệt may, da giày,","Taiwan Hipster Enterprise Co., Ltd.","No. 161, Da' an Rd., Shulin Dist., New Taipei City 23847, Taiwan (R.O.C.)",866226870911-4,0,Taiwan,,0 USD
ATLANTIC GOLDEN BRIDGE INC.,2016-12-13 11:11:57.957,2021-01-12 00:00:00.0,Việt Nam,,"G18, Lô G, Khu biệt thự vườn Thủ Đức, , 5, phường Hiệp Bình Phước, quận Thủ Đức, thành phố Hồ Chí Minh, Việt Nam",Phan Trần Thụy Vy,Việt Nam,"79-04781-01
Thương mại",2016-12-13 11:11:57.957,2021-01-12 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Atlantic Golden Bridge Inc.,"10, 10th Fl, Four Seasons PL, Etobicoke, Ontario, Canada M9B 6H7",4166495776,0,Canada,,0 USD
FINN TECH. CO. LTD,2016-06-01 08:46:22.983,2021-06-01 00:00:00.0,Hàn Quốc,,"trệt, 178/4, Đường D1, phường 25, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Lee Seong Jun,Hàn Quốc,"79-04616-01
Thương mại",2016-06-01 08:46:22.983,2021-06-01 00:00:00.0,"Thương mại : Sản phẩm may mặc, dệt may,",Finn Tech. Co. Ltd,"34, Noksansandan 382-ro, Gangseo-gu, Busan, Korea",82-51-204-4112,0,Hàn Quốc,,0 USD
MSM LOSS MANAGEMENT (AUSTRALIA) PTY LTD,2015-10-06 16:41:05.105,2020-10-06 00:00:00.0,Việt Nam,,"801, Vietnam Business Center, 57-59, Hồ Tùng Mậu, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Huỳnh Thị Kim Nhật,Việt Nam,"79-04439-01
Dịch vụ",2015-10-06 16:41:05.105,2020-10-06 00:00:00.0,"Dịch vụ : Dịch vụ tiện ích khác,",MSM Loss Management (Australia) Pty Ltd,"Level 8, 45-47 York Street, Sydney NSW 2000, Australia",61 29249 6666,0,Australia,,0 USD
IDI INFRASTRUCTURES INC.,2013-01-03 00:00:00.0,2019-12-14 00:00:00.0,Việt Nam,,"phòng 32, Lầu 21, số 5 Công Trường Mê Linh, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Đoàn Thị kim Liên,Việt Nam,"79-03758-01
Dịch vụ",2013-01-03 00:00:00.0,2019-12-14 00:00:00.0,"Dịch vụ : Quản lý tài sản,",IDI infrastructures Inc.,"2-26-1 Minami Aoyama, Minato-ku, Tokyo, Japan",81-03-5447-6288,0,Nhật Bản,,0 USD
MEKONG PARTNERS PTE. LTD.,2016-12-13 14:12:13.759,2021-12-14 00:00:00.0,Việt Nam,,"lửng, 165/61, Nguyễn Thái Bình, phường Nguyễn Thái Bình, quận 1, thành phố Hồ Chí Minh, Việt Nam",Huỳnh Nhuận Mẫn,Việt Nam,"79-04782-01
Dịch vụ",2016-12-13 14:12:13.759,2021-12-14 00:00:00.0,"Dịch vụ : Dịch vụ tiện ích khác,",Mekong Partners Pte. Ltd.,"3 Mount Elizabeth, #17-18, Mount Elizabeth Hospital, Singapore (228510)",65 90232128,0,Singapore,,0 USD
BCL HOLDING AG,2016-12-09 09:22:14.822,2021-12-09 00:00:00.0,Việt Nam,,"345/11, Trần Hưng Đạo , phường Cầu Kho, quận 1, thành phố Hồ Chí Minh, Việt Nam",Hoàng Khương SInh,Việt Nam,"79-04779-01
Thương mại",2016-12-09 09:22:14.822,2021-12-09 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",BCL Holding AG,"Haldenstrasse 5, 6340 Baar, Switzerland",,0,Thụy Sĩ,,0 USD
EJOT ASIA PACIFIC PTE. LTD.,2015-12-28 08:32:39.425,2021-12-11 00:00:00.0,Singapore,39976100,"Lutaco , tầng 8, 173A, Nguyễn Văn Trỗi, phường 11, quận Phú Nhuận, thành phố Hồ Chí Minh, Việt Nam",Noel Yu Hanwei,Singapore,"79-04491-01
Thương mại",2015-12-28 08:32:39.425,2021-12-11 00:00:00.0,"Thương mại : Nguyên, nhiên vật liệu,",Ejot Asia Pacific Pte. Ltd.,"32 Old Toh Tuck Road, #04-05, I.Biz Centre, Singapore (597658)",+65 6562 8600,0,Singapore,,0 USD
"NINGBO CIMEI IMPORT AND EXPORT CO., LTD",2016-12-08 13:30:54.193,2020-01-19 00:00:00.0,Trung Quốc,,"409, Kumho Asiana Plaza Saigon, 4, 39, Lê Duẩn, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam","Bao, Yunbin",Trung Quốc,"79-04777-01
Thương mại",2016-12-08 13:30:54.193,2020-01-19 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,","Ningbo Cimei Import And Export Co., Ltd","Room 701 (Hosting No.302), 7/F, Building 1, No.5, Xingye No.1 Road, Ningbo Free Trade Zone, China",86-21-61250139,0,Trung Quốc,,0 USD
"GUANGZHOU YISHIHUOLALA TECHNOLOGY CO., LTD.",2016-12-08 09:04:04.26,2021-12-08 00:00:00.0,Trung Quốc,,"R801, 08, 57-59, Hồ Tùng Mậu, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",LAI PUI MAN,Trung Quốc,"79-04776-01
Thương mại",2016-12-08 09:04:04.26,2021-12-08 00:00:00.0,"Thương mại : Phần cứng máy tính,","Guangzhou Yishihuolala Technology Co., Ltd.","Room 2427, No.2 Huaqiang Road, Tianhe District, Guangzhou City, China",+86-0755-23481737,0,Trung Quốc,,0 USD
ST. JOHN LOGISTICS SINGAPORE PTE. LTD.,2016-12-07 14:33:34.794,2021-12-07 00:00:00.0,Ấn Độ,,"6 Lô C, Cư xá, Lạc Long Quân, phường 5, quận 11, thành phố Hồ Chí Minh, Việt Nam",Muthu Baskar,Ấn Độ,"79-04775-01
Dịch vụ",2016-12-07 14:33:34.794,2021-12-07 00:00:00.0,"Dịch vụ : Giao nhận, vận tải đường biển,",St. John Logistics Singapore Pte. Ltd.,"7 Temasek Boulevard, #18-03A, Suntec Tower One, Singapore (038987)",6562732500,0,Singapore,,0 USD
LEE KIM ALLIANCE PTE. LTD.,2016-12-05 10:16:48.039,2021-12-05 00:00:00.0,Việt Nam,854138856,"3.22, TTTM Thiên Sơn, 800, Nguyễn Văn Linh, phường Tân Phú, quận 7, thành phố Hồ Chí Minh, Việt Nam",Thái Thị Diệu Huyền,Việt Nam,"79-04772-01
Dịch vụ",2016-12-05 10:16:48.039,2021-12-05 00:00:00.0,"Dịch vụ : Dịch vụ tiện ích khác,",Lee Kim Alliance Pte. Ltd.,"10 Anson Road, #23-14P, International Plaza, Singapore (079903)",6633-5051,0,Singapore,,0 USD
"INTEGRATED SOURCING SOLUTIONS, LLC",2016-12-07 09:55:26.913,2021-12-07 00:00:00.0,Hàn Quốc,,"3, C40bis, 1, Nguyễn Văn Quá, phường Đông Hưng Thuận, quận 12, thành phố Hồ Chí Minh, Việt Nam",Kim JinWon,Hàn Quốc,"79-04774-01
Thương mại",2016-12-07 09:55:26.913,2021-12-07 00:00:00.0,"Thương mại : Nguyên, nhiên vật liệu,","Integrated Sourcing Solutions, LLC","114 East Main Street New Albany, Ohio 43045, U.S.A",(614)855 8038,0,Hoa Kỳ,,0 USD
"ALLIP I&amp;C CO., LTD.",2016-01-18 13:43:05.041,2020-01-18 00:00:00.0,Hàn Quốc,,"Tòa tháp Tài chính Bitexco, 46, 2, Hải Triều, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Ryu Duk Ha,Hàn Quốc,"79-04511-01
Thương mại",2016-01-18 13:43:05.041,2020-01-18 00:00:00.0,"Thương mại : Thiết bị bán dẫn, linh kiện điện tử,","Allip I&amp;C Co., Ltd.","6-95, Kukje Electronic Center, 304, Hyoryeong-ro, Seocho-gu, Seoul, Korea",07086337104,0,Hàn Quốc,,0 USD
"YUNNAN XIANGFENG CHEMICAL FERTILIZER CO., LTD.",2016-12-06 13:48:24.581,2021-12-06 00:00:00.0,Trung Quốc,,"119, Mỹ Hưng, Phú Mỹ Hưng, phường Tân Phong, quận 7, thành phố Hồ Chí Minh, Việt Nam",Li Yan Chun,Trung Quốc,"79-04773-01
Thương mại",2016-12-06 13:48:24.581,2021-12-06 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,","Yunnan Xiangfeng Chemical Fertilizer Co., Ltd.","Xiangfeng Dasha, Donghu Xiaoqu, East Baihua Road, Anning City, Kunming City, Yunnan Province, China",0086-871-8697569,0,Trung Quốc,,0 USD
TIL HEALTHCARE PRIVATE LIMITED,2016-06-29 08:38:07.948,2021-06-29 00:00:00.0,Ấn Độ,,"Vietcomreal, 9, 68, Nguyễn Huệ, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Shubham Sharma,Ấn Độ,"79-04640-01
Thương mại",2016-06-29 08:38:07.948,2021-06-29 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Til Healthcare Private Limited,"Rajah Annamalai Building, 72 Marshalls Road, Egmore Chennai, Tamil Nadu-600008, India",91-044-42007400,0,Ấn Độ,,0 USD
MEITETSU WORLD TRAVEL INC.,2012-01-12 00:00:00.0,2021-12-07 00:00:00.0,Nhật Bản,38245439,"1903, 19, 2Bis-4-6, Lê Thánh Tôn, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Takehiko Tsuda,Nhật Bản,"79-03498-01
Dịch vụ",2012-01-12 00:00:00.0,2021-12-07 00:00:00.0,"Dịch vụ : Giao nhận, vận tải dường hàng không,",Meitetsu World Travel Inc.,"14-19, 2chome Meieki-minami, Nakamura-ku, Nagoyashi, Japan;",81-52-582-2102,1956,Nhật Bản,,0 USD
"MINAMI SHOTEN CO., LTD",2011-12-07 00:00:00.0,2019-12-07 00:00:00.0,Việt Nam,0838485662,"Kicotrans, 2, 20, Sông Thao, phường 2, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Mạnh Quỳnh,Việt Nam,"79-03464-01
Thương mại",2011-12-07 00:00:00.0,2019-12-07 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,","Minami Shoten Co., Ltd","2-1-14 Ashihara-doori, Hyogo-ku, Kobe-shi, Japan",81-78-652-2678,0,Nhật Bản,,0 USD
SIV ASSOCIATES INTERNATIONAL PTE. LTD.,2011-07-18 00:00:00.0,2021-07-18 00:00:00.0,Ấn Độ,0862585739,"G 1021, The Manor Officetel, 91, Nguyễn Hữu Cảnh, phường 22, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Manoj Barthwal,Ấn Độ,"79-03334-01
Thương mại",2011-07-18 00:00:00.0,2021-07-18 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",SIV Associates International Pte. Ltd.,"31 Cantonment Road, Singapore 089747",6562244991,0,Singapore,,0 USD
"TABITHA APPAREL CO., LTD.",2011-12-29 00:00:00.0,2021-12-06 00:00:00.0,Hàn Quốc,08 73003032,"126, Hoàng Hoa Thám, phường 12, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Kim Jong Dal,Hàn Quốc,"79-03486-01
Thương mại",2011-12-29 00:00:00.0,2021-12-06 00:00:00.0,"Thương mại : Sản phẩm may mặc, dệt may,","Tabitha Apparel Co., Ltd.","6th Fl. Handoo Bldg, 106, Dasan-ro, Jung-gu, Seoul, Korea",82-2-2233-2166,0,Hàn Quốc,,0 USD
COMELZ S.P.A.,2013-01-21 00:00:00.0,2021-12-06 00:00:00.0,Ý,22200834,"Indochina Park Tower, 3, 4, Nguyễn Đình Chiểu, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Fabrizio Bellagamba,Ý,"79-03776-01
Thương mại",2013-01-21 00:00:00.0,2021-12-06 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Comelz S.P.A.,"Vigevano (PV) Viale Indipendenza, 55 Cap 27029, Italia",0039038142401,0,Ý,,0 USD
"TRANCE WORK INTERNATIONAL CO., LTD.",2011-12-30 00:00:00.0,2021-12-05 00:00:00.0,Nhật Bản,54106010/6011,"85 (số cũ: A4), (khu C4-1), khu phố 1, Hoàng Văn Thái, phường Tân Phú, quận 7, thành phố Hồ Chí Minh, Việt Nam",Yano Yoshiyuki,Nhật Bản,"79-03487-01
Thương mại",2011-12-30 00:00:00.0,2021-12-05 00:00:00.0,"Thương mại : Sản phẩm may mặc, dệt may,","Trance Work International Co., Ltd.","Miyano, 20-9-6F, 4-chome, Midori, Sumida-ku, Tokyo, Japan",81356256360,0,Nhật Bản,Tokyo,0 USD
AIR WATER INC.,2012-12-28 00:00:00.0,2021-12-05 00:00:00.0,Nhật Bản,,"503, 5, Tòa nhà Miss Áo Dài, 21, Nguyễn Trung Ngạn, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Miyoshi Naoki,Nhật Bản,"79-03750-01
Thương mại",2012-12-28 00:00:00.0,2021-12-05 00:00:00.0,"Thương mại : Máy móc, thiết bị nông nghiệp,",Air Water INC.,"2, Kita 3-Jo Nishi 1-Chome, Chuo-Ku, Sapporo, Japan",81-6-6252-1773,0,Nhật Bản,,0 USD
"EXELTIS HEALTHCARE, S.L.",2016-12-01 10:09:18.826,2021-11-30 00:00:00.0,Tây Ban Nha,,"6, 23, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Jullian Caillet,Tây Ban Nha,"79-04771-01
Thương mại",2016-12-01 10:09:18.826,2021-11-30 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,","Exeltis Healthcare, S.L.","Azuqueca de Henares - Guadalajara - Polígono Industrial Miralcampo, Avenida Miralcampo, 7, Spain.",34917711500,0,Tây Ban Nha,,0 USD
ECONECOL INC.,2015-01-15 15:33:55.031,2020-01-15 00:00:00.0,Nhật Bản,,"Indochina Park Tower, 18 khu A, 4, Nguyễn Đình Chiểu, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Imabayashi Shinji,Nhật Bản,"79-04250-01
Thương mại",2015-01-15 15:33:55.031,2020-01-15 00:00:00.0,"Thương mại : Nhôm, kim loại màu,",Econecol Inc.,"3507-19, Yamamiya, Fujinomiya-shi, Shizuoka-ken, Japan",810542530121,0,Nhật Bản,,0 USD
"HOSHIZAKI ELECTRIC CO., LTD",2013-08-27 00:00:00.0,2018-08-26 00:00:00.0,Việt Nam,,"709, Zen Plaza, 7 , 54-56, Nguyễn Trãi, phường Bến Thành, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Lan Anh,Việt Nam,"79-03911-01
Chế biến",2013-08-27 00:00:00.0,2018-08-26 00:00:00.0,"Chế biến : Máy móc, thiết bị công nghiệp,","Hoshizaki Electric Co., Ltd","3-16 Minamiyakata, Sakae, Toyoake, Aichi, Japan",81-5791-8031,0,Nhật Bản,,0 USD
ROQUETTE SINGAPORE PTE LTD,2011-12-15 00:00:00.0,2021-12-01 00:00:00.0,Việt Nam,,,Võ Thái Minh Hiền,Việt Nam,79-03474-01,2011-12-15 00:00:00.0,2021-12-01 00:00:00.0,,Roquette Singapore Pte Ltd,"298 Tiong Bahru Road, # 14 - 02/03, Central Plaza, Singapore (168730)",65 64163388,2009,Singapore,,614.570 USD
MFC GROUP (UK) LTD.,2011-02-16 00:00:00.0,2021-02-16 00:00:00.0,Việt Nam,,"10, 6, Đường Số 4, phường Hiệp Bình Phước, quận Thủ Đức, thành phố Hồ Chí Minh, Việt Nam",Phạm Đức Đại,Việt Nam,"79-03201-01
Thương mại",2011-02-16 00:00:00.0,2021-02-16 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,",MFC Group (UK) Ltd.,"Unit 17 Shottery Brook Office Park, Timothy'S Bridge Road, Stratford - Upon - Avon, Warwickshire, CV3 9NR, United Kingdoom",+44 1926 84 2624,0,Vương Quốc Anh,,0 USD
FOODZAPS TECHNOLOGY PTE. LTD,2016-11-28 07:49:44.19,2021-11-28 00:00:00.0,Việt Nam,,"4, 22, Nguyễn Đình Khơi, phường 4, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Võ Ngọc Hoàng Thanh Bình,Việt Nam,"79-04770-01
Thương mại",2016-11-28 07:49:44.19,2021-11-28 00:00:00.0,"Thương mại : Thiết bị bán dẫn, linh kiện điện tử,",Foodzaps Technology Pte. Ltd,"8 Burn Road, #13-01, Trivex Singapore (369977)",65-93630129,0,Singapore,,0 USD
LENK FROZEN FOODS (ASIA) COMPANY LIMITED,2016-11-24 10:57:57.281,2021-11-24 00:00:00.0,Việt Nam,,"Hồng Anh Japan, lầu 5, 24, phuong 02, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Võ Phước Lợi,Việt Nam,"79-04768-01
Thương mại",2016-11-24 10:57:57.281,2021-11-24 00:00:00.0,"Thương mại : Hóa chất,",Lenk Frozen Foods (Asia) Company Limited,"1469/4, Phatthanakan Road, Suan Luang Sub-District, Suan Luang District, Bangkok Metropolis, Thailand;",6627137820,0,Thái Lan,,0 USD
X-CALIBUR INTERNATIONAL (FZC),2015-01-16 15:35:36.536,2018-11-21 00:00:00.0,Việt Nam,,"tầng 2, 94/15B, Nguyễn Đình Chiểu, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lê Thị Quỳnh Phương,Việt Nam,"79-04252-01
Thương mại",2015-01-16 15:35:36.536,2018-11-21 00:00:00.0,"Thương mại : Nguyên, nhiên vật liệu,",X-Calibur International (FZC),"SAIF plus Q1-09 - 057/B, P.0.Box 120636, Sharjah - U.A.E",97165748228,0,United Arab Emirates,,40.844 USD
TSUNEISHI KAMTECS CORPORATION,2012-05-31 00:00:00.0,2019-05-30 00:00:00.0,Nhật Bản,38337791-38337793,"7, Tiến Vinh Building, 281-283-285-287, Nguyễn Thiện Thuật, Phường 01, quận 3, thành phố Hồ Chí Minh, Việt Nam",Itoh Masamichi,Nhật Bản,"79-03592-01
Thương mại",2012-05-31 00:00:00.0,2019-05-30 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",TSUNEISHI KAMTECS CORPORATION,"Hiroshima-ken Fukuyama-shi Numakuma-cho Ooajzatsuneishi 1083, Japan",81-84-987-1291,1967,Nhật Bản,,0 USD
"VĂN PHÒNG ĐẠI DIỆN DAIWA HOUSE INDUSTRY CO., LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH.",2016-11-18 15:12:50.929,2021-11-18 00:00:00.0,Nhật Bản,,"Unit BC11-05, tầng 11, 180-192, Nguyễn Công Trứ, phường Nguyễn Thái Bình, quận 1, thành phố Hồ Chí Minh, Việt Nam",Sawamoto Kazuya,Nhật Bản,"79-04766-02
Thương mại",2016-11-18 15:12:50.929,2021-11-18 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,","Daiwa House Industry Co., Ltd.","3-3-5 Umeda, Kita-ku, Osaka, Japan",+81-6-6342-1369,0,Nhật Bản,,0 USD
WILLIAM MONTAGUE LTD,2016-11-18 14:07:57.912,2021-11-18 00:00:00.0,Mỹ,,"71 Đường số 7, A, Khu đô thị mới An Phú - An Khánh, phường An Phú, quận 2, thành phố Hồ Chí Minh, Việt Nam",Trần Đại Long,Mỹ,"79-04765-01
Thương mại",2016-11-18 14:07:57.912,2021-11-18 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,",William Montague Ltd,"Level 2, Max City Building, Remy Ollier Street, Port Louis, Mauritius",,0,Mauritius,,0 USD
VĂN PHÒNG ĐẠI DIỆN ECOTEK CANADA PROMOTION TRADE CORPORATION TẠI THÀNH PHỐ HỒ CHÍ MINH.,2013-09-30 00:00:00.0,2019-12-31 00:00:00.0,Việt Nam,08.35178705,"2, 39, Phường 02, quận Phú Nhuận, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Châu,Việt Nam,"79-03934-01
Thương mại",2013-09-30 00:00:00.0,2019-12-31 00:00:00.0,"Thương mại : Thiết bị bán dẫn, linh kiện điện tử,",Ecotek Canada Promotion Trade Corporation,"1188 West Georgia Street, Unit 1440, Vancouver, BC V6E 4A2, Canada",778-928-5580,0,Canada,,0 USD
"SEUNG HYUN ENG CO., LTD",2016-04-21 09:14:48.141,2021-04-21 00:00:00.0,Việt Nam,,"2008, lô L và M(i), Sun Wah Tower , 20, 115, Nguyễn Huệ, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Trần Văn Huỳnh,Việt Nam,"79-04584-01
Thương mại",2016-04-21 09:14:48.141,2021-04-21 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,","Seung Hyun Eng Co., Ltd","74, Nakdongnam-ro 533beon-gil, Gangseo-gu, Busan, Korea",051-832-0501,0,Hàn Quốc,,0 USD
KAIDEN CORPORATE SERVICES PTE. LTD.,2016-11-17 09:31:52.3,2021-11-17 00:00:00.0,Việt Nam,,"Miss Áo Dài, 10, 21, Nguyễn Trung Ngạn, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Hồng Linh,Việt Nam,"79-04764-01
Dịch vụ",2016-11-17 09:31:52.3,2021-11-17 00:00:00.0,"Dịch vụ : Dịch vụ tiện ích khác,",Kaiden Corporate Services Pte. Ltd.,"203 Hougang Street 21, #03-73, Singapore (530203)",,0,Singapore,,0 USD
SUPERSONIC DISTRIBUTION &amp; SERVICES PVT. LTD.,2015-10-12 16:48:39.951,2021-10-12 00:00:00.0,Ấn Độ,,"02, A&amp;B, tầng 20, 76A, Lê Lai, phường Bến Thành, quận 1, thành phố Hồ Chí Minh, Việt Nam",Gupta Amit Nath,Ấn Độ,"79-04448-01
Thương mại",2015-10-12 16:48:39.951,2021-10-12 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Supersonic Distribution &amp; Services Pvt. Ltd.,"722 Maker Chamber 5, Nariman Point, Mumbai, Mumbai (Tq), 400021, India",91-22-66707676,0,Ấn Độ,,0 USD
"FU WAH MEDICINE CO., LIMITED",2016-11-17 09:25:25.295,2017-07-04 00:00:00.0,Australia,,"12, 631, Nguyễn Trãi, phường 11, quận 5, thành phố Hồ Chí Minh, Việt Nam",La Lan-thoai,Australia,"79-04763-01
Sản xuất",2016-11-17 09:25:25.295,2017-07-04 00:00:00.0,"Sản xuất : Dược phẩm, thuốc tây,","Fu Wah Medicine Co., Limited","Unit 13, 12/F BLK B, Hoi Luen Ind Ctr, 55 Hoi Yuen RD Kwun Tong, KL, Hong Kong",,0,Hồng Kông,,0 USD
NORDIC DESIGN LIMITED,2015-08-20 13:44:36.241,2018-10-06 00:00:00.0,Việt Nam,0908916076 - TĐD,"109, đường Bùi Tá Hán, phường An Phú, quận 2, thành phố Hồ Chí Minh, Việt Nam",Trần Công Công Lý,Việt Nam,"79-04408-01
Thương mại",2015-08-20 13:44:36.241,2018-10-06 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,",Nordic Design Limited,"Suite A-2, 9/F, One Capital Place, 18 Luard Rd, Wanchai, Hong Kong",,0,Hồng Kông,,0 USD
WÖRWAG PHARMA GMBH &amp; CO. KG,2011-12-05 00:00:00.0,2019-12-05 00:00:00.0,Indonesia,,"4, 157, Phường 06, quận 3, thành phố Hồ Chí Minh, Việt Nam",Ferdinand Halim,Indonesia,"79-03463-01
Thương mại",2011-12-05 00:00:00.0,2019-12-05 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Wörwag Pharma GmbH &amp; Co. KG,"Calwer Str. 7, 71034 Böblingen, Germany",49-703162040,0,Đức,,0 USD
